event-id,visible,timestamp,location-l,location_l,sensor-typ,individual,tag-local-,individu_1,study-name,Animal,Migratory,Citation,Name1,Park,Code1,x,y
3440985026,1,8/6/2009 5:49,26.656883,-18.8216,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month5 Year5 Animal3,1096791,7909385
3440985027,1,8/7/2009 5:49,26.698017,-18.845967,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month5 Year5 Animal3,1101055,7906539
3440985028,1,8/8/2009 5:49,26.7014,-18.845383,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month5 Year5 Animal3,1101415,7906592
3440985029,1,8/9/2009 5:49,26.6997,-18.845717,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month5 Year5 Animal3,1101234,7906561
3440985030,1,8/10/2009 5:49,26.70575,-18.84885,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month5 Year5 Animal3,1101862,7906192
3440985031,1,8/11/2009 5:49,26.70745,-18.8538,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month5 Year5 Animal3,1102024,7905637
3440985032,1,8/12/2009 5:49,26.762117,-18.870367,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1107746,7903608
3440985033,1,8/13/2009 5:49,26.770033,-18.844067,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1108679,7906503
3440985034,1,8/14/2009 5:49,26.789833,-18.815183,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1110878,7909643
3440985035,1,8/15/2009 5:49,26.7966,-18.811367,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1111608,7910044
3440985036,1,8/16/2009 5:49,26.789967,-18.823467,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1110862,7908723
3440985037,1,8/17/2009 5:49,26.8052,-18.8456,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1112393,7906211
3440985038,1,8/18/2009 5:49,26.789967,-18.826383,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1110852,7908399
3440985039,1,8/19/2009 5:49,26.79615,-18.854683,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1111403,7905233
3440985040,1,8/20/2009 5:49,26.79585,-18.822367,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1111488,7908824
3440985041,1,8/21/2009 5:49,26.80685,-18.840883,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1112585,7906729
3440985042,1,8/22/2009 5:49,26.796633,-18.83365,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1111530,7907568
3440985043,1,8/23/2009 5:49,26.7895,-18.819517,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1110827,7909163
3440985044,1,8/24/2009 5:49,26.8015,-18.80565,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1112147,7910662
3440985045,1,8/25/2009 5:49,26.799283,-18.836083,gps,Loxodonta africana,ele1,ele1,African,elephant,(Migration),Chamaill?-Jammes,Hwange,NP,Month1 Year1 Animal1,1111802,7907289
